(924, 380, -432)
(788, 312, -424)
(604, 236, -344)
(-196, 56, 44)
(748, -344, -120)
(732, 852, 12)
(944, 312, -124)
(1176, 72, -352)
(724, 416, -424)
(712, 120, -232)
(868, 120, -332)
(1080, 96, -336)
(1040, 156, -364)
(1028, 228, -420)
(1092, 56, -232)
(932, 152, -264)
(1000, 60, -256)
(1008, 92, -272)
(952, 192, -388)
(956, 76, -280)
(852, 140, -308)
(920, 260, -460)
(964, 164, -388)
(960, 144, -392)
(956, 180, -412)
(1024, 120, -328)
(912, 116, -276)
(1112, 140, -388)
(1044, 136, -332)
(1084, 152, -356)
(1056, 172, -360)
(1000, 220, -384)
(940, 168, -320)
(968, 144, -352)
(820, 240, -376)
(916, 172, -384)
(1152, 148, -428)
(1128, 164, -396)
(1028, 96, -296)
(1040, 120, -232)
(1044, 164, -280)
(1032, 220, -356)
(932, 72, -288)
(840, 148, -372)
(844, 120, -364)
(996, 128, -412)
(1000, 80, -436)
(992, 24, -340)
(1124, 36, -320)
(1008, 272, -424)
(1044, 116, -280)
